Name,Rank,Number,Percent
BUCKLEY,772,40706,0.01509
SCHAEFER,773,40663,0.01507
FROST,774,40582,0.01504
HOWE,775,40555,0.01503
HOUSE,776,40477,0.015
MCINTOSH,777,40453,0.015
HO,778,40413,0.01498
PENNINGTON,779,40339,0.01495
REILLY,780,40310,0.01494
HEBERT,781,40283,0.01493
MCFARLAND,782,40244,0.01492
HICKMAN,783,40224,0.01491
NOBLE,784,40217,0.01491
SPEARS,785,40203,0.0149
CONRAD,786,40102,0.01487
ARIAS,787,40086,0.01486
GALVAN,788,40046,0.01484
VELAZQUEZ,789,40030,0.01484
HUYNH,790,40011,0.01483
FREDERICK,791,39909,0.01479
RANDOLPH,792,39742,0.01473
CANTU,793,39601,0.01468
FITZPATRICK,794,39501,0.01464
MAHONEY,795,39440,0.01462
PECK,796,39432,0.01462
VILLA,797,39402,0.01461
MICHAEL,798,39369,0.01459
DONOVAN,799,39270,0.01456
MCCONNELL,800,39203,0.01453
WALLS,801,39166,0.01452
BOYLE,802,39141,0.01451
MAYER,803,39111,0.0145
ZUNIGA,804,39057,0.01448
GILES,805,39002,0.01446
PINEDA,806,38999,0.01446
PACE,807,38975,0.01445
HURLEY,808,38971,0.01445
MAYS,809,38914,0.01443
MCMILLAN,810,38896,0.01442
CROSBY,811,38844,0.0144
AYERS,812,38836,0.0144
CASE,813,38759,0.01437
BENTLEY,814,38714,0.01435
SHEPARD,815,38705,0.01435
EVERETT,816,38702,0.01435
PUGH,817,38691,0.01434
DAVID,818,38659,0.01433
MCMAHON,819,38557,0.01429
DUNLAP,820,38516,0.01428
BENDER,821,38464,0.01426
HAHN,822,38354,0.01422
HARDING,823,38340,0.01421
ACEVEDO,824,38232,0.01417
RAYMOND,825,38158,0.01415
BLACKBURN,826,38137,0.01414
DUFFY,827,37962,0.01407
LANDRY,828,37961,0.01407
DOUGHERTY,829,37903,0.01405
BAUTISTA,830,37847,0.01403
SHAH,831,37833,0.01402
POTTS,832,37687,0.01397
ARROYO,833,37678,0.01397
VALENTINE,834,37669,0.01396
MEZA,835,37662,0.01396
GOULD,836,37660,0.01396
VAUGHAN,837,37591,0.01393
FRY,838,37542,0.01392
RUSH,839,37470,0.01389
AVERY,840,37440,0.01388
HERRING,841,37353,0.01385
DODSON,842,37298,0.01383
CLEMENTS,843,37237,0.0138
SAMPSON,844,37234,0.0138
TAPIA,845,37201,0.01379
BEAN,846,37145,0.01377
LYNN,847,37125,0.01376
CRANE,848,37123,0.01376
FARLEY,849,37116,0.01376
CISNEROS,850,37050,0.01373
BENTON,851,37032,0.01373
ASHLEY,852,37021,0.01372
MCKAY,853,36948,0.0137
FINLEY,854,36874,0.01367
BEST,855,36862,0.01366
BLEVINS,856,36841,0.01366
FRIEDMAN,857,36833,0.01365
MOSES,858,36814,0.01365
SOSA,859,36813,0.01365
BLANCHARD,860,36764,0.01363
HUBER,861,36729,0.01362
FRYE,862,36716,0.01361
KRUEGER,863,36694,0.0136
BERNARD,864,36546,0.01355
ROSARIO,865,36539,0.01354
RUBIO,866,36531,0.01354
MULLEN,867,36442,0.01351
BENJAMIN,868,36439,0.01351
